user_id,event_id,interaction
2272,471,like
1608,838,like
3140,732,like
606,972,like
4736,47,like
3415,947,like
3666,58,like
2145,918,like
4271,24,share
3766,290,like
1377,831,like
3463,444,share
348,403,comment
1,24,comment
63,64,share
1784,767,comment
3815,660,like
226,628,like
1043,610,like
845,239,comment
2681,283,share
4120,442,like
1235,300,share
1985,93,share
4257,577,like
1279,375,share
1595,686,share
2552,996,like
1953,310,share
1696,888,comment
955,747,like
3292,167,like
357,749,like
3596,7,like
969,822,like
242,43,like
3447,788,like
4235,340,comment
2145,153,share
147,43,comment
543,725,share
692,201,like
1026,895,comment
4051,667,like
4006,732,share
3360,665,comment
2952,548,comment
730,226,share
4500,834,share
2556,633,comment
1151,521,comment
1736,339,comment
1039,335,share
2913,181,like
4841,533,comment
2541,946,share
4415,272,comment
1243,194,share
773,538,comment
1917,940,share
3413,797,share
2500,481,comment
3441,98,share
3546,430,share
1214,512,share
2932,731,share
419,327,share
3782,945,share
4961,911,share
789,785,share
1872,905,comment
4591,973,share
2026,800,like
2447,578,comment
4824,827,comment
561,416,like
2652,111,share
3905,212,like
540,683,like
4756,851,like
3137,878,comment
3290,987,share
2611,996,comment
4913,571,share
1945,30,like
3146,267,comment
2759,976,share
3261,887,share
4108,666,like
1896,350,comment
2501,514,comment
2830,930,comment
3874,681,comment
48,214,comment
2365,251,comment
2257,543,comment
4673,319,like
754,183,share
2803,885,like
4650,189,share
3653,725,share
403,127,share
2087,804,comment
2228,296,comment
3411,23,share
2991,922,share
4644,530,comment
1150,79,comment
63,546,share
4940,470,share
3154,924,like
1009,619,comment
2032,305,comment
1323,448,share
2082,199,like
752,191,comment
4145,232,like
658,574,like
1661,554,comment
701,24,share
1081,675,like
2157,461,share
1541,183,comment
3033,433,like
1984,845,share
315,607,like
3082,955,like
4734,83,like
2315,93,comment
2136,278,share
1650,617,like
3220,85,share
3801,573,comment
2479,208,like
4068,670,like
1776,581,like
1967,444,share
1768,774,share
3816,853,like
242,746,share
4798,370,share
2950,651,like
4837,792,like
4877,476,like
2257,504,comment
4112,847,like
3369,231,like
367,878,like
2828,360,like
1253,563,like
2488,751,like
4786,19,like
3604,690,like
3522,209,comment
4943,899,share
4518,131,comment
1644,743,comment
1213,384,like
4704,92,like
20,543,like
676,362,like
4478,761,share
609,124,share
62,881,comment
1266,943,share
2286,648,comment
1155,273,like
1629,355,comment
1627,100,comment
3717,731,share
1443,616,comment
1654,301,like
2503,609,like
3270,828,like
282,882,like
4982,203,share
1025,21,comment
4819,198,comment
3404,112,comment
1236,149,comment
4183,381,like
4761,755,share
4958,954,comment
786,183,comment
3318,796,share
1668,337,comment
3009,338,share
3195,971,comment
4790,814,share
3776,300,comment
2447,601,like
3791,222,comment
534,760,like
402,409,share
3664,967,like
130,689,comment
2340,997,like
4372,118,like
2960,174,comment
1859,219,share
2974,376,like
4151,730,comment
3650,319,like
2787,589,share
3098,88,share
3513,908,share
4861,78,like
1221,441,comment
642,201,share
3315,576,comment
724,415,share
4898,4,like
738,950,like
4854,83,share
1300,705,comment
3481,989,comment
340,493,share
153,6,like
1422,705,comment
3052,729,comment
427,347,like
3559,534,comment
1136,657,share
2373,955,like
3330,797,share
950,451,like
1374,145,share
957,2,share
1702,288,share
2942,918,comment
2483,871,comment
1304,225,share
371,954,share
2981,437,like
2297,214,comment
4799,943,share
2126,900,comment
2967,166,like
4146,373,share
2743,653,comment
4022,829,like
2365,507,share
763,983,comment
4063,576,like
1005,333,like
3756,212,comment
2847,289,share
350,610,comment
2965,166,like
687,126,like
4638,157,share
3127,762,comment
4457,573,share
2756,32,share
3525,907,like
3625,274,comment
2733,301,comment
1694,21,like
2893,524,like
3812,756,comment
4181,615,share
685,276,share
4341,7,comment
2920,859,share
3757,455,share
3284,130,like
4692,299,share
4027,97,like
1157,277,share
3062,285,comment
4446,800,like
2330,173,comment
1293,332,like
1885,205,share
1561,103,comment
984,625,like
2068,955,comment
1864,360,comment
1980,131,share
1737,39,like
2453,307,share
1919,884,comment
701,520,like
4047,878,comment
2074,46,comment
4662,194,like
3754,518,comment
395,880,like
1957,570,like
3049,169,like
3453,122,comment
523,249,share
1563,207,comment
2910,115,comment
2850,239,like
550,566,share
1469,76,like
833,169,comment
4483,48,share
1422,736,like
286,70,comment
2746,508,comment
3766,155,share
4465,559,comment
1446,461,comment
1467,373,comment
1777,791,comment
3656,202,share
915,654,comment
288,317,comment
4191,451,comment
2089,638,share
4427,844,share
1805,665,like
1179,577,share
2552,96,comment
4371,920,share
1589,693,share
1957,496,share
1776,362,comment
4863,457,like
988,178,like
1204,129,like
3331,490,like
1120,39,share
197,458,like
3976,812,share
526,873,share
4728,350,like
1411,645,comment
4504,891,like
1293,452,like
1195,380,share
1949,109,share
3656,584,like
4787,208,like
2218,577,comment
4255,241,comment
3581,591,comment
1018,88,share
3154,399,comment
3591,690,share
4208,262,share
4070,578,like
48,325,comment
3664,371,like
4472,935,like
828,105,share
4723,98,comment
2090,487,like
2057,96,share
819,925,like
4753,989,comment
3985,472,share
3681,46,comment
1812,890,like
4886,31,share
3115,408,like
1630,375,like
1544,382,comment
3580,911,share
1905,716,like
1437,660,comment
3318,644,comment
3521,698,share
3060,973,like
4117,701,share
999,489,share
1432,639,like
4553,876,share
3062,906,share
265,809,share
3732,309,comment
2275,599,like
3876,967,share
3318,633,comment
2047,844,comment
3145,816,share
3222,911,like
3141,135,comment
4901,328,share
1254,199,like
723,683,like
84,260,share
4836,124,comment
3371,754,like
3820,947,like
3365,583,like
1758,382,like
4319,507,comment
2781,571,comment
3288,109,share
2453,41,share
329,445,comment
426,798,share
770,891,like
3976,146,comment
608,798,like
1853,903,comment
2673,564,comment
2125,176,share
1301,279,comment
466,380,share
1965,165,comment
1946,839,like
2540,486,like
2361,989,like
2040,994,like
1185,764,like
3935,615,like
3218,565,comment
2783,767,share
778,361,comment
3380,173,like
2419,763,like
4078,177,comment
4263,49,share
2440,111,share
4832,210,share
1990,760,share
1067,687,like
945,619,like
29,665,share
1898,859,comment
1698,155,comment
2815,652,like
3366,663,comment
2489,273,like
1666,556,like
4620,583,share
1571,637,share
1734,664,share
760,455,share
2158,861,share
1352,316,share
3477,821,comment
1269,732,share
1786,215,share
3950,330,like
2608,144,like
399,619,share
2631,354,like
2447,281,comment
1670,322,comment
239,306,comment
3537,837,comment
3862,846,share
3104,479,comment
1147,936,comment
1558,390,comment
3739,64,comment
2158,796,like
3452,265,comment
300,6,comment
3699,913,like
4054,168,like
4860,355,share
249,972,like
2569,173,like
4130,850,like
4324,119,comment
4681,939,share
2861,226,share
724,174,comment
570,959,share
220,129,comment
1395,187,like
2835,63,comment
2123,975,comment
4232,893,like
4001,274,like
4350,598,share
3090,210,comment
50,193,like
515,750,share
2792,532,comment
2779,952,like
2619,182,like
1838,560,comment
4672,228,like
1166,566,comment
4999,614,comment
2250,89,comment
415,144,like
2269,660,like
1105,742,comment
4859,815,share
4659,250,comment
3357,225,comment
2417,903,comment
1935,919,share
204,971,like
69,673,like
516,168,comment
3564,110,comment
4457,773,like
1465,173,comment
1653,511,like
707,879,share
1626,297,comment
4753,904,like
3786,243,like
1346,209,share
344,243,comment
3787,254,share
536,82,like
355,434,like
3543,475,share
983,543,share
1346,4,share
3010,194,comment
527,56,like
931,261,comment
2757,593,comment
2283,566,share
1947,380,comment
3928,487,comment
2542,96,share
1917,861,share
3361,336,share
1594,769,like
2926,716,like
3626,723,comment
1224,329,comment
1960,496,like
966,829,comment
4993,638,share
3679,519,like
4313,926,comment
623,125,comment
4449,783,comment
4788,620,like
4727,260,like
2373,831,like
2949,582,share
3300,550,comment
1169,687,comment
4750,700,share
392,739,like
3810,770,like
2408,709,like
4865,8,share
4893,563,comment
4261,373,share
4829,222,comment
581,880,comment
821,531,comment
1248,350,share
124,759,like
4440,31,like
1875,592,share
524,358,comment
3124,22,share
4225,289,like
3199,754,share
2786,214,comment
2119,712,like
1211,165,comment
1027,140,share
4118,370,comment
4262,965,share
498,320,like
4530,409,like
2806,438,like
4933,797,comment
1694,13,share
4759,501,share
725,26,share
376,534,comment
4399,861,share
2453,76,like
3860,366,share
1687,491,comment
4804,92,like
257,841,like
4495,887,comment
3601,266,like
51,560,share
595,499,comment
4914,170,share
4732,346,comment
3874,757,comment
3437,228,comment
1073,699,share
1477,949,comment
4871,680,like
3021,203,share
1665,446,comment
4493,518,comment
2731,132,share
1396,245,like
3898,91,like
4625,823,comment
4781,126,comment
4046,472,like
2661,965,comment
2234,242,like
3323,502,like
4198,761,like
4219,387,like
2102,7,comment
1307,88,share
1638,598,share
1141,908,like
616,867,comment
4653,145,share
4210,451,share
1567,331,like
977,710,like
4797,875,comment
1317,164,share
2340,657,like
4357,342,like
2097,1,comment
379,120,like
3466,579,like
2272,464,like
1047,867,like
1008,462,like
110,49,comment
2772,819,like
3884,327,share
2601,474,like
3244,888,like
1006,939,share
4794,368,share
306,287,like
959,24,comment
954,723,share
2669,293,comment
3539,449,like
2678,985,like
1631,63,share
1792,568,share
2604,458,comment
1972,530,like
67,874,share
835,961,share
