user_id,age,location,interest
1,56,Rural,Education
2,46,Rural,Cleaning
3,32,Suburban,Education
4,25,Urban,Wildlife
5,38,Urban,Education
6,56,Urban,Community
7,36,Rural,Recycling
8,40,Rural,Wildlife
9,28,Suburban,Wildlife
10,28,Urban,Education
11,41,Rural,Community
12,53,Urban,Education
13,57,Suburban,Education
14,41,Suburban,Wildlife
15,20,Suburban,Education
16,39,Urban,Recycling
17,19,Rural,Education
18,41,Rural,Recycling
19,47,Suburban,Wildlife
20,55,Rural,Community
21,19,Suburban,Recycling
22,38,Urban,Community
23,50,Suburban,Community
24,29,Urban,Recycling
25,39,Suburban,Wildlife
26,42,Rural,Cleaning
27,44,Rural,Community
28,59,Suburban,Community
29,45,Rural,Wildlife
30,33,Rural,Wildlife
31,32,Rural,Education
32,20,Urban,Wildlife
33,54,Rural,Community
34,24,Urban,Recycling
35,38,Suburban,Cleaning
36,26,Rural,Education
37,56,Rural,Recycling
38,35,Rural,Cleaning
39,21,Suburban,Cleaning
40,42,Urban,Cleaning
41,31,Urban,Recycling
42,26,Rural,Education
43,43,Suburban,Education
44,19,Suburban,Cleaning
45,37,Suburban,Recycling
46,45,Suburban,Cleaning
47,24,Suburban,Wildlife
48,25,Urban,Education
49,52,Urban,Community
50,31,Urban,Cleaning
51,34,Rural,Wildlife
52,53,Suburban,Education
53,57,Rural,Recycling
54,21,Suburban,Education
55,19,Urban,Recycling
56,23,Rural,Recycling
57,59,Urban,Cleaning
58,21,Suburban,Cleaning
59,46,Suburban,Education
60,35,Suburban,Wildlife
61,43,Urban,Education
62,51,Suburban,Community
63,27,Urban,Recycling
64,53,Rural,Recycling
65,31,Suburban,Cleaning
66,48,Suburban,Wildlife
67,32,Suburban,Cleaning
68,25,Rural,Community
69,31,Suburban,Education
70,40,Urban,Education
71,57,Urban,Wildlife
72,38,Suburban,Cleaning
73,33,Suburban,Cleaning
74,35,Rural,Community
75,41,Rural,Education
76,43,Rural,Cleaning
77,42,Suburban,Wildlife
78,58,Rural,Education
79,46,Rural,Community
80,32,Urban,Wildlife
81,18,Rural,Recycling
82,42,Urban,Community
83,24,Urban,Wildlife
84,26,Rural,Cleaning
85,41,Urban,Recycling
86,18,Suburban,Community
87,25,Suburban,Cleaning
88,41,Rural,Recycling
89,28,Suburban,Education
90,34,Urban,Cleaning
91,25,Suburban,Wildlife
92,52,Rural,Community
93,52,Rural,Recycling
94,50,Urban,Cleaning
95,22,Rural,Education
96,59,Suburban,Community
97,56,Rural,Community
98,58,Urban,Cleaning
99,45,Rural,Education
100,24,Suburban,Recycling
101,26,Urban,Cleaning
102,25,Suburban,Recycling
103,29,Urban,Community
104,51,Rural,Recycling
105,50,Urban,Education
106,40,Urban,Wildlife
107,41,Rural,Education
108,54,Suburban,Recycling
109,52,Rural,Cleaning
110,57,Urban,Community
111,39,Rural,Wildlife
112,44,Urban,Cleaning
113,52,Rural,Cleaning
114,18,Rural,Education
115,52,Suburban,Recycling
116,54,Urban,Education
117,31,Suburban,Recycling
118,20,Urban,Education
119,18,Rural,Cleaning
120,22,Urban,Community
121,43,Suburban,Recycling
122,31,Suburban,Wildlife
123,56,Suburban,Wildlife
124,44,Urban,Cleaning
125,26,Suburban,Education
126,32,Suburban,Education
127,32,Suburban,Cleaning
128,43,Rural,Wildlife
129,59,Rural,Wildlife
130,30,Urban,Education
131,49,Urban,Recycling
132,56,Suburban,Community
133,49,Rural,Recycling
134,21,Suburban,Wildlife
135,47,Suburban,Recycling
136,54,Rural,Community
137,40,Rural,Recycling
138,56,Rural,Recycling
139,32,Urban,Recycling
140,46,Urban,Recycling
141,53,Suburban,Cleaning
142,30,Urban,Wildlife
143,49,Rural,Community
144,24,Rural,Wildlife
145,39,Urban,Cleaning
146,45,Suburban,Cleaning
147,19,Suburban,Cleaning
148,59,Urban,Cleaning
149,23,Suburban,Recycling
150,45,Suburban,Wildlife
151,45,Suburban,Education
152,37,Rural,Community
153,47,Rural,Cleaning
154,28,Urban,Wildlife
155,45,Rural,Cleaning
156,42,Suburban,Cleaning
157,56,Rural,Cleaning
158,50,Urban,Cleaning
159,18,Rural,Cleaning
160,44,Suburban,Community
161,30,Suburban,Wildlife
162,58,Urban,Cleaning
163,20,Rural,Cleaning
164,56,Rural,Cleaning
165,23,Rural,Cleaning
166,25,Suburban,Recycling
167,44,Urban,Recycling
168,26,Rural,Education
169,54,Suburban,Cleaning
170,50,Suburban,Education
171,59,Suburban,Community
172,41,Rural,Education
173,32,Rural,Wildlife
174,49,Rural,Recycling
175,49,Rural,Recycling
176,41,Rural,Cleaning
177,58,Rural,Cleaning
178,29,Rural,Community
179,56,Rural,Community
180,19,Rural,Wildlife
181,20,Suburban,Cleaning
182,54,Rural,Cleaning
183,34,Urban,Community
184,19,Suburban,Community
185,19,Rural,Community
186,45,Urban,Recycling
187,40,Rural,Education
188,54,Urban,Education
189,49,Urban,Cleaning
190,50,Urban,Recycling
191,18,Urban,Community
192,36,Suburban,Cleaning
193,19,Suburban,Recycling
194,43,Urban,Wildlife
195,49,Rural,Recycling
196,23,Urban,Cleaning
197,49,Suburban,Education
198,21,Rural,Community
199,28,Suburban,Wildlife
200,34,Suburban,Recycling
201,55,Rural,Cleaning
202,41,Urban,Cleaning
203,22,Urban,Community
204,51,Urban,Cleaning
205,23,Urban,Cleaning
206,39,Rural,Community
207,28,Rural,Wildlife
208,33,Rural,Education
209,50,Suburban,Education
210,26,Rural,Recycling
211,23,Urban,Wildlife
212,33,Suburban,Recycling
213,46,Urban,Education
214,20,Urban,Community
215,37,Rural,Cleaning
216,53,Rural,Education
217,36,Urban,Wildlife
218,43,Urban,Education
219,20,Suburban,Wildlife
220,36,Rural,Wildlife
221,37,Suburban,Wildlife
222,49,Suburban,Recycling
223,24,Suburban,Community
224,58,Urban,Education
225,50,Suburban,Community
226,57,Suburban,Cleaning
227,56,Urban,Education
228,35,Rural,Community
229,57,Rural,Community
230,18,Suburban,Cleaning
231,28,Urban,Wildlife
232,45,Rural,Education
233,42,Suburban,Education
234,40,Suburban,Cleaning
235,48,Urban,Wildlife
